iso3c,date,country,capital_city,longitude,latitude,region,income_level,ARB,SRF,CO2,GDP,POP,URB,ARB_est,SRF_est,CO2_est,GDP_est,POP_est,URB_est,ARB_rnk,SRF_rnk,CO2_rnk,GDP_rnk,POP_rnk,URB_rnk,TOT_rnk,ARB_wgt,SRF_wgt,CO2_wgt,GDP_wgt,POP_wgt,URB_wgt,TOT_wgt
ABW,1990,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,487.711,764887117.194486,62149,31273,2000,180,487.711,764887117.194486,62149,31273,192,205,163.5,175,197,197,188.25,0.000140703395672873,0.00013444182731473,0.00219002367296758,0.0033512220782232,0.00118157914467926,0.00138457765567629,0.00139709129575566
ABW,1991,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,531.715,872138715.083799,64622,32507,2000,180,531.715,872138715.083799,64622,32507,192,205.5,163,173,196,196,187.583333333333,0.000140360217333093,0.000134441797182538,0.00235873604737213,0.00361856461505248,0.00120843215236958,0.00140362328462208,0.00147735968565532
ABW,1992,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,539.049,958463184.357542,68235,34116,2000,180,539.049,958463184.357542,68235,34116,192,205.5,161,171,196,196,186.916666666667,0.000140588666411279,0.00013444174508067,0.0025223415295206,0.00376018600695291,0.00125579527342079,0.00143771166166446,0.00154184414717512
ABW,1993,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,649.059,1082979720.67039,72504,35953,2000,180,649.059,1082979720.67039,72504,35953,192,205.5,157,166,193,194,184.583333333333,0.000140958241185646,0.000134441634597653,0.00300578957337004,0.00419166359215521,0.00131384173474783,0.00147952302872464,0.00171103630079684
ABW,1994,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,660.06,1245688268.15642,76700,37719,2000,180,660.06,1245688268.15642,76700,37719,193,205.5,156,161,192,193,183.416666666667,0.000141209285873403,0.000134448578306443,0.00304715561435028,0.00449490598338399,0.00136904573828209,0.00151649610381374,0.00178387688400166
ABW,1995,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,707.731,1320474860.3352,80324,39172,2000,180,707.731,1320474860.3352,80324,39172,192,205.5,157,163,192,193,183.75,0.000141467547938697,0.000134448548171631,0.00320664429388975,0.00428772825940073,0.00141279660653485,0.00153942417510897,0.0017870849051741
ABW,1996,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,726.066,1379960893.85475,83200,40232,2000,180,726.066,1379960893.85475,83200,40232,192,205.5,158,164,192,193,184.083333333333,0.000142307102318225,0.000134448467812196,0.00319983627453747,0.0043888193530833,0.00144238350687799,0.00154589615402207,0.00180894847644187
ABW,1997,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,759.069,1531944134.07821,85451,40970,2000,180,759.069,1531944134.07821,85451,40970,192,205.5,159,163,192,193,184.083333333333,0.000141780246212812,0.000134379454452271,0.00333442122794658,0.00489692214428571,0.00146052982768799,0.00153962449438275,0.00191794289916135
ABW,1998,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,806.74,1665100558.65922,87277,41488,2000,180,806.74,1665100558.65922,87277,41488,193,205.5,156,159,192,193,183.083333333333,0.000141507767878211,0.000134406814378738,0.00356757862733492,0.00533536926109564,0.00147124870142478,0.00152530162939881,0.00202923546691852
ABW,1999,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,810.407,1722798882.68156,89005,41945,2000,180,810.407,1722798882.68156,89005,41945,192,205.5,157,158,192,193,182.916666666667,0.000141460021873393,0.000134406814378738,0.00352693128957729,0.00532332997774541,0.00148033660751164,0.00150923123037827,0.00201928265691079
ABW,2000,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2379.883,1873452513.96648,90853,42444,2000,180,2379.883,1873452513.96648,90853,42444,192,205.5,126,154,192,193,177.083333333333,0.000141907518258404,0.000134406733088843,0.0100587534280332,0.00560949377479966,0.00149131014091382,0.00149485484176796,0.00315512107281031
ABW,2001,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2409.219,1920111731.84358,92898,43048,2000,180,2409.219,1920111731.84358,92898,43048,192.5,205.5,128,155,192,194,177.833333333333,0.000142205902338562,0.000134406341301614,0.0101054789182937,0.00577846663703734,0.00150531516400916,0.00148240454225327,0.00319137958420561
ABW,2002,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2438.555,1941340782.12291,94992,43670,2000,180,2438.555,1941340782.12291,94992,43670,192.5,205.5,127,158,192,193,178,0.000142686656556668,0.000134405915017621,0.0100101080018088,0.00562700555028663,0.00151980014749655,0.00146923973487735,0.00315054100100727
ABW,2003,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2563.233,2021229050.27933,97017,44246,2000,180,2563.233,2021229050.27933,97017,44246,192,205.5,129,165,192,194,179.583333333333,0.000142264751243958,0.000134405512195565,0.0100077751668064,0.00521885612854727,0.00153281672736666,0.00145466864584128,0.00308179782200018
ABW,2004,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2618.238,2228491620.11173,98737,44669,2000,180,2618.238,2228491620.11173,98737,44669,192.5,205.5,127,166,192,194,179.5,0.000141964839796381,0.000134407374923407,0.00976406119534771,0.00510794718912477,0.00154062045737205,0.00143521473355214,0.00302070263168607
ABW,2005,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2720.914,2330726256.98324,100031,44889,2000,180,2720.914,2330726256.98324,100031,44889,193,205.5,130,167,192,194,180.25,0.000141551751371876,0.000134405410463742,0.0098067697865546,0.00492909571562595,0.00154154110277504,0.00140968396199541,0.0029938412881311
ABW,2006,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2717.247,2424581005.58659,100834,44882,2000,180,2717.247,2424581005.58659,100834,44882,192.5,205.5,129,170,192,194,180.5,0.000142601050695731,0.000134405074283407,0.00945842580139137,0.00472850118617477,0.00153478279064943,0.00137803185486011,0.00289612462634247
ABW,2007,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2823.59,2615083798.88268,101222,44686,2000,180,2823.59,2615083798.88268,101222,44686,192.5,205.5,131,172,192,194,181.166666666667,0.000142814614427865,0.000134405033161096,0.00967167342538607,0.00452719989195253,0.00152183743626481,0.00134191270557319,0.00288997385112759
ABW,2008,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2658.575,2745251396.64804,101358,44378,2000,180,2658.575,2745251396.64804,101358,44378,192.5,205.5,134,172,192,196,182,0.000142583046771153,0.000134205144732669,0.00875278063404958,0.00433046736236786,0.00150518487518024,0.0013031618304919,0.00269473048226557
ABW,2009,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2629.239,2498882681.56425,101455,44053,2000,180,2629.239,2498882681.56425,101455,44053,192.5,205.5,135,174,192,196,182.5,0.000142995175402206,0.000134207473275802,0.00887546956598267,0.00415825661727524,0.00148837272001033,0.00126541607741441,0.00267745293822678
ABW,2010,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2508.228,2390502793.29609,101669,43778,2000,180,2508.228,2390502793.29609,101669,43778,192.5,205.5,140,177,193,197,184.166666666667,0.000143390786878335,0.000134207246967028,0.00793372564522656,0.00363542135165653,0.00147373433249714,0.00123053215983022,0.00242516858717597
ABW,2011,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,2500.894,2549720670.39106,102046,43819,2000,180,2500.894,2549720670.39106,102046,43819,193,205.5,138,178,193,197,184.083333333333,0.000142640241294323,0.000134206994590478,0.00763066298157283,0.00349162178113046,0.00146204415377127,0.00120667511844608,0.00234464187846757
ABW,2012,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,1349.456,2534636871.50838,102560,44057,2000,180,1349.456,2534636871.50838,102560,44057,193,205.5,156,178,193,196,186.916666666667,0.000141721521343677,0.000134209534270308,0.00404302481538318,0.00339225173947648,0.00145217646870345,0.00118868558070357,0.00172534494331344
ABW,2013,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,861.745,2701675977.65363,103159,44348,2000,180,861.745,2701675977.65363,103159,44348,193,206.5,166,177,192,196,188.416666666667,0.000141452815119169,0.000133965289171052,0.0025693376772269,0.00351620443976774,0.0014435295310169,0.00117243167730685,0.00149615357160143
ABW,2014,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,872.746,2765363128.49162,103774,44665,2000,180,872.746,2765363128.49162,103774,44665,193,206.5,166,179,192,196,188.75,0.000140643684978571,0.000133966987739707,0.00258279120943756,0.0035020731032792,0.00143515570860547,0.00115710486637153,0.00149195592673534
ABW,2015,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,898.415,2919553072.6257,104341,44979,2000,180,898.415,2919553072.6257,104341,44979,193,206.5,167,177,192,196,188.583333333333,0.000139725710615959,0.000133964312112792,0.00266333788289936,0.00390767961659192,0.00142629462883624,0.00114198031198204,0.00156883041050639
ABW,2016,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,898.415,2965921787.7095,104872,45296,2000,180,898.415,2965921787.7095,104872,45296,193,206.5,167,176,192,196,188.416666666667,0.000139725710615959,0.000133976449256586,0.00266333788289936,0.00390989552830051,0.00141703425089881,0.00112721712112221,0.0015651978238489
ABW,2017,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,898.415,3056424581.00559,105366,45616,2000,180,898.415,3056424581.00559,105366,45616,193,206.5,167,177,192,196,188.583333333333,0.000139725710615959,0.000133976449256586,0.00266333788289936,0.00378508363161897,0.00140759082593464,0.00111303476304016,0.00154045821056094
ABW,2018,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,898.415,,105845,45948,2000,180,898.415,3250156179.01351,105845,45948,193,206.5,167,175,192,196,188.25,0.000139725710615959,0.000133976449256586,0.00266333788289936,0.00378508363161897,0.00139851162986464,0.00109986283721937,0.00153674969024581
ABW,2019,Aruba,Oranjestad,-70.0167,12.5167,Latin America & Caribbean,High income,2000,180,898.415,,106314,46295,2000,180,898.415,3301350263.53444,106314,46295,193,206.5,167,175,192,196,188.25,0.000139725710615959,0.000133976449256586,0.00266333788289936,0.00378508363161897,0.00138973122178175,0.00108759603749673,0.00153324182227822
AFG,1990,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7910000,652860,2614.571,,12412308,2628554,7910000,652860,2614.571,2682747464.97886,12412308,2628554,32,40,119,133,56,91,78.5,0.556481929886213,0.487620507670526,0.0117405028483149,0.0117539991625307,0.235983270368559,0.116376335341622,0.236659424212961
AFG,1991,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7910000,652860,2438.555,,13299017,2828169,7910000,652860,2438.555,2832923774.26757,13299017,2828169,32,40,121,134,55,89,78.5,0.555124659552382,0.487620398381066,0.0108176515276032,0.0117539991625307,0.248691772735441,0.122117816508639,0.239354382977944
AFG,1992,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7910000,652860,1393.46,,14485546,3093388,7910000,652860,1393.46,2996068664.00322,14485546,3093388,32,40,136,130,53,86,79.5,0.55602817565661,0.48762020940759,0.00652033864774032,0.0117539991625307,0.266591634787417,0.130361120930147,0.243145913098673
